path,bytes,extension,top_group,sha256,sensitivity
(MEmu).txt,20,.txt,<root>,465c38fa84f44b81a470a8035a593b2521dc615b6661f375f92a5248097fa4ea,sensitive_plaintext
AdbWinApi.dll,104808,.dll,<root>,42ae4f705ff5c4897c0e9eb56bc08a7a5b8a4b38295bd2d3f944061cf67b3389,normal
AdbWinUsbApi.dll,69264,.dll,<root>,ae29eaeaf6ac00e8249f5fdd8cd97b7c1548734e893398c66c34f931a8ba08d4,normal
AutoUpdater.NET.dll,455680,.dll,<root>,446f0f8e9c40da37500f909c819cd442363f9cf1b30600310b18a76488b33b97,normal
AutoUpdater.NET.pdb,83456,.pdb,<root>,04e1b673bb0db28df3cd54dcf0ff9e30bf5c267d10150a63610bb1af327abf1c,normal
AutoUpdater.NET.xml,35769,.xml,<root>,283ba8f707ba28392e7bbbaa8a82a3c3046934b07c29f2602f6a0791b00550dd,normal
Auto_ThanLong_Kteam_0789998118.exe,6775808,.exe,<root>,e1e4f555da3d4891ab0db674ee345bad67c2414632b7d1684151e7a9243134aa,normal
Auto_ThanLong_Kteam_0789998118.exe.config,770,.config,<root>,ebd77a9ec1b9a027bb56cdc6aa3f1d21720c4e218cfb3d165919513f776ab025,normal
Auto_ThanLong_Kteam_0789998118.pdb,441856,.pdb,<root>,5795d8e41d2504d732919dfd74d135a364ec6fc7cbbc47cdfd71021b2780ad84,normal
Auto_ThanLong_obfusca.exe,3212288,.exe,<root>,e2ba163c86852e81e60fe6c4694e031a2a7bf1b8838ddef799135736ad764e11,normal
Emgu.CV.World.dll,641536,.dll,<root>,2cf8dfee1da3711506f9d45096ecaf7e40617079196522bb5d88f4761db520ee,normal
Emgu.CV.World.xml,1797678,.xml,<root>,dda501863b5f4ebc1b37a4dffe9b0bfe6ba673e8ed205aa46eb3e5259cc5ad34,normal
ItemSell_TrangNgoc/ngoc1.PNG,1288,.png,ItemSell_TrangNgoc,a21cd2fb4d313b8a56bf3114da0d90fae58576202201e8d21508273348f78850,normal
ItemSell_TrangNgoc/ngoc10.PNG,1399,.png,ItemSell_TrangNgoc,dfb24822014624c9c2ce3a09b3cf5977c4a42122b40b66179a09e2361cdba4be,normal
ItemSell_TrangNgoc/ngoc11.PNG,1418,.png,ItemSell_TrangNgoc,01766a1dc9bf45c4dbd5a4b2be5d0a6002ec982ee959e2cfe88c79b938abdeb5,normal
ItemSell_TrangNgoc/ngoc2.PNG,1331,.png,ItemSell_TrangNgoc,e26e33cff2bb5f54f405b415a494118d3ae1f6c3b9e54b3712f2ccebf682cd38,normal
ItemSell_TrangNgoc/ngoc3.PNG,1155,.png,ItemSell_TrangNgoc,d81d77c8e346da3d4fbdf3861a6f7f95253b0639447c9597c8dae19c78e5a377,normal
ItemSell_TrangNgoc/ngoc4.PNG,1474,.png,ItemSell_TrangNgoc,9af69319749c3daeef9474175019781d75bf627e2d747bc31ed3547dc53df5c5,normal
ItemSell_TrangNgoc/ngoc5.PNG,1655,.png,ItemSell_TrangNgoc,350ef3bab48e42258002cc96da3f8325abfb416a0e37d830117a3580b8f43373,normal
