assembly,declaring_type,property,getter_rid,getter_rva,setter_rid,setter_rva,feature_tags
Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,DeviceName,388,0x2591B0,389,0x25920C,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,Status,390,0x259270,391,0x2592B8,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,taikhoan,392,0x25930C,393,0x259354,account_login
Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,matkhau,394,0x2593B8,395,0x259400,account_login
Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,cumsv,396,0x259428,397,0x259470,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,sever,398,0x259498,399,0x2594E0,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,toadoTRENBANG,400,0x259544,401,0x2595A0,travel_navigation
Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,toadoX,402,0x259604,403,0x259660,travel_navigation
Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,toadoY,404,0x259688,405,0x2596D0,travel_navigation
Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,toadoclickX,406,0x259734,407,0x25977C,travel_navigation
Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,DIS,408,0x2597D8,409,0x259834,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,IsSelected,410,0x259888,411,0x2598E4,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,Color,412,0x259948,413,0x2599A4,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,EStatus,414,0x259A00,415,0x259A48,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,toado1,416,0x259B88,417,0x259BD0,travel_navigation
Auto_ThanLong_obfusca.exe,KhungCode_Auto.item,version,426,0x259E00,427,0x259E48,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.item,url,428,0x259E60,429,0x259EA8,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.item,changelog,430,0x259EC0,431,0x259F08,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.item,mandatory,432,0x259F20,433,0x259F68,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.LoginResponse,access_token,471,0x25AC20,472,0x25AC34,auth_update
Auto_ThanLong_obfusca.exe,KhungCode_Auto.LoginResponse,token_type,473,0x25AC48,474,0x25AC5C,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.LoginResponse,expires_in,475,0x25AC70,476,0x25AC84,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.LoginResponse,userName,477,0x25AC98,478,0x25ACAC,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.LoginResponse,LoginStamp,479,0x25ACC0,480,0x25ACD4,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.LoginResponse,issued,481,0x25ACE8,482,0x25ACFC,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.LoginResponse,expires,483,0x25AD10,484,0x25AD24,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,ListDevices,486,0x25AD80,487,0x25ADDC,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,Title_,488,0x25AE40,489,0x25AE88,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,API,490,0x25AEEC,491,0x25AF48,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,DoanChat,492,0x25AFA4,493,0x25B000,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,SelectedDevice,494,0x25B064,495,0x25B0AC,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,IsHenGio,496,0x25B0D4,497,0x25B11C,scheduler
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,Chuyendovaokho,498,0x25B194,499,0x25B1F0,storage
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,vitrigdX,500,0x25B244,501,0x25B28C,trade_transfer
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,vitrigdY,502,0x25B2E8,503,0x25B344,trade_transfer
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,CHAT,504,0x25B3A8,505,0x25B404,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,IDchat,506,0x25B468,507,0x25B4C4,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,soluongdochoi,508,0x25B518,509,0x25B560,consumable_shop
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,guikb,510,0x25B5C4,511,0x25B620,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,soluongthucan,512,0x25B684,513,0x25B6E0,consumable_shop;pet_mount
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,soluongmau,514,0x25B73C,515,0x25B754,consumable_shop
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,soluongmana,516,0x25B7B8,517,0x25B814,consumable_shop
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,chinhtuyen5x,518,0x25B870,519,0x25B8B8,quest_level
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,muaitem,520,0x25B91C,521,0x25B978,consumable_shop
