declaring_type,property,getter_rid,getter_rva,setter_rid,setter_rva,feature_tags
KhungCode_Auto.QuestInfo,QuestToDo,1010,0x2BBCD0,1011,0x2BBD2C,quest_level
KhungCode_Auto.QuestInfo,ThoiGian,1012,0x2BBD54,1013,0x2BBD9C,quest_level;scheduler
KhungCode_Auto.QuestInfo,IsThoiGian,1014,0x2BBE14,1015,0x2BBE5C,quest_level;scheduler
KhungCode_Auto.QuestInfo,Isslnhanvat,1016,0x2BBEB0,1017,0x2BBF0C,quest_level
KhungCode_Auto.QuestInfo,Status,1018,0x2BBF84,1019,0x2BBFE0,quest_level
KhungCode_Auto.QuestInfo,QuestName,1020,0x2BC044,1021,0x2BC08C,quest_level
KhungCode_Auto.QuestInfo,IsSelected,1022,0x2BC0F0,1023,0x2BC14C,quest_level
KhungCode_Auto.QuestInfo,Color,1024,0x2BC1A0,1025,0x2BC1E8,quest_level
KhungCode_Auto.QuestInfo,EStatus,1026,0x2BC244,1027,0x2BC28C,quest_level
KhungCode_Auto.QuestInfo,IsLeader,1028,0x2BC3FC,1029,0x2BC414,quest_level
KAutoHelper.NoxMultiIni,pid,23,0x2CD4,24,0x2CDC,core_orchestration
KAutoHelper.NoxMultiIni,vmpid,25,0x2CE5,26,0x2CED,core_orchestration
KAutoHelper.NoxMultiIni,Ports,27,0x2CF6,28,0x2CFD,core_orchestration
