assembly,rid,declaring_type,name,rva,flags,impl_flags,body_status,feature_tags
Auto_ThanLong_obfusca.exe,778,KhungCode_Auto.MainWindow,‏⁫⁬​​‪⁫‍‌‏‪‬⁭⁫⁫‭⁬‍⁪‭⁪⁬‏⁬‎‎‎⁮‌‎‪‪‫‌‌‌⁮⁯‭‏‮,0x2B6184,0x0010,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,779,KhungCode_Auto.MainWindow,⁪⁬‎⁮⁬⁮⁮⁫⁬‏‪‪⁯‪‭⁮‌‪‫⁭⁪‎‏‍‍‌‏⁬‏⁫⁬‭⁪‌⁯‎‭‬⁯⁫‮,0x2565B0,0x0010,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,780,KhungCode_Auto.MainWindow,‌‍​‭‏⁮‬⁯⁯‪⁪⁭⁯‍⁭‮⁬⁬‏⁫⁫‭​‎⁭⁪‮‬‫‬‬‍⁬‮‬⁯⁮⁪⁯‫‮,0x2B6198,0x0010,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,781,KhungCode_Auto.MainWindow,⁫​‫‮‏⁫‍⁮​‪‌⁬‭‪‫​⁭⁭‬​⁭‪‪​⁬‎‎‍⁭⁬​⁮⁬⁭‬‪⁬⁭⁮‭‮,0x2B61AC,0x0010,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,782,KhungCode_Auto.MainWindow,‭⁭​‌‍‏⁬⁪​‏⁮‫‭‍⁬‫‌‎⁯⁪‎⁯‭‭‭⁬‮‭⁯‪‏‫‏⁬⁮‌‍⁭⁭⁭‮,0x2B61C0,0x0010,0x0000,valid_il_header,
Auto_ThanLong_obfusca.exe,783,KhungCode_Auto.MainWindow,‬‌⁮‪⁮‌​​⁯‪⁯​⁭‌‌‫‫‌‭​‮‎‭‪⁯‪‍‍‫​⁯‏‌⁭⁯⁪‬⁯‫‏‮,0x2B61D4,0x0010,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,784,KhungCode_Auto.MainWindow,⁮‮⁬⁪‮‍‮‫‍‎⁭⁪‎‭‌‭​⁪‍‭⁯⁭⁯‪⁬⁯‭‏⁪‏⁮‬‭‮‭‍‬⁯‭‪‮,0x2B61E8,0x0010,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,785,KhungCode_Auto.MainWindow,⁯‏⁫‌‫⁫⁯‫‍⁮‍⁬‍​⁭‎‪⁬‍⁭‭⁯‮​‎⁫‎⁬‫‏⁪⁮⁮⁪‏‎⁪‬‎⁫‮,0x25A670,0x0010,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,786,KhungCode_Auto.MainWindow,‬‍‫⁮‫⁪‭⁫‭​‭⁭‫⁪⁯⁫‌‭‍⁭⁬⁮⁭⁫‎‏‌⁮⁯‫⁮⁭‍⁪‫‏‎‎⁪‌‮,0x2B61FC,0x0010,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,787,KhungCode_Auto.MainWindow,⁬‮​⁮‪⁪⁯⁬​‮‏⁫‌‪⁪⁮‭‏​‫‍‫‬‭⁯‎‪⁮⁪‍‎‍‬‪⁪⁭⁭‏‬⁭‮,0x2B6210,0x0010,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,788,KhungCode_Auto.MainWindow,‮⁯⁬‭⁪​‎⁭‭⁬‍‫‭‌⁪‍‏⁯‏‍‎‌⁭⁪‌⁪‪⁪‫⁪‎⁪‭‍‍⁮⁯⁬⁫‮‮,0x2B6224,0x0010,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,789,KhungCode_Auto.MainWindow,‫⁫‭‫⁫⁬‮‮‍‬‪‍‏‌‮‍⁭‮⁪‏⁯‫‬⁯​‏‭⁯⁭⁭⁫⁪⁪‫‫‌‌‫‭‭‮,0x2B6238,0x0010,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,790,KhungCode_Auto.MainWindow,⁯‮⁫‌⁪‮​‪⁮⁭⁯⁭‏⁯⁮⁭‫‌‌‮‭‭⁫‬‫‭⁬‪⁭‮‎​‮‏‎‪‏‪⁫‏‮,0x2B624C,0x0010,0x0000,valid_il_header,
Auto_ThanLong_obfusca.exe,791,KhungCode_Auto.MainWindow,⁫​‏⁯‬‫‪‫‍‍‬⁭‮‮‭⁫‪⁮⁯‍‌‬‏‫‮‫⁭‬‌⁮‭⁭​⁫‮‪⁯⁬‏‮,0x2B6260,0x0010,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,792,KhungCode_Auto.MainWindow,⁬⁬‌‏⁭⁮⁬‏⁪⁪‫‬‬⁪‫‍‎‮​‍‍‭⁯‌⁪​⁪‍⁬​⁪⁪​⁮⁮‪⁮⁯‮‏‮,0x2B6274,0x0010,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,793,KhungCode_Auto.MainWindow,‬⁫⁮‫⁬‫‬‫‌‎⁭‫⁫‪‭⁮‫‎‬‪⁭⁮⁮‭‌‌‌‭‫⁬⁯‫⁬‪⁭​​‌‭‏‮,0x2B6288,0x0010,0x0000,valid_il_header,
