feature,assembly,declaring_type,method,rid,rva,body_status
quest_level,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_IsSelectAllQuest,375,0x258C94,protected_or_nonstandard
quest_level,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_Quest,378,0x258EEC,valid_il_header
quest_level,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_Quest,379,0x258F34,protected_or_nonstandard
quest_level,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_IsRuningQuest,382,0x259050,protected_or_nonstandard
quest_level,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_IsRuningQuest,383,0x259098,protected_or_nonstandard
account_login,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_taikhoan,392,0x25930C,protected_or_nonstandard
account_login,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_taikhoan,393,0x259354,valid_il_header
account_login,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_matkhau,394,0x2593B8,valid_il_header
account_login,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_matkhau,395,0x259400,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_toadoTRENBANG,400,0x259544,valid_il_header
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_toadoTRENBANG,401,0x2595A0,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_toadoX,402,0x259604,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_toadoX,403,0x259660,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_toadoY,404,0x259688,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_toadoY,405,0x2596D0,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_toadoclickX,406,0x259734,valid_il_header
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_toadoclickX,407,0x25977C,valid_il_header
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_toado1,416,0x259B88,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_toado1,417,0x259BD0,valid_il_header
auth_update,Auto_ThanLong_obfusca.exe,KhungCode_Auto.LoginResponse,get_access_token,471,0x25AC20,protected_or_nonstandard
auth_update,Auto_ThanLong_obfusca.exe,KhungCode_Auto.LoginResponse,set_access_token,472,0x25AC34,protected_or_nonstandard
scheduler,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_IsHenGio,496,0x25B0D4,valid_il_header
scheduler,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_IsHenGio,497,0x25B11C,valid_il_header
storage,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_Chuyendovaokho,498,0x25B194,protected_or_nonstandard
storage,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_Chuyendovaokho,499,0x25B1F0,valid_il_header
trade_transfer,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_vitrigdX,500,0x25B244,protected_or_nonstandard
trade_transfer,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_vitrigdX,501,0x25B28C,protected_or_nonstandard
trade_transfer,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_vitrigdY,502,0x25B2E8,valid_il_header
trade_transfer,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_vitrigdY,503,0x25B344,valid_il_header
